Id,SalePrice
1461,151500.0
1462,139000.0
1463,176500.0
1464,181000.0
1465,179200.0
1466,193500.0
1467,173000.0
1468,177000.0
1469,180000.0
1470,97000.0
1471,167250.0
1472,87450.0
1473,88000.0
1474,148500.0
1475,124900.0
1476,451950.0
1477,215200.0
1478,200000.0
1479,319000.0
1480,412500.0
1481,228500.0
1482,202500.0
1483,169990.0
1484,84500.0
1485,181750.0
1486,225000.0
1487,267000.0
1488,277500.0
1489,208300.0
1490,215000.0
1491,165400.0
1492,118400.0
1493,180000.0
1494,265000.0
1495,222000.0
1496,265900.0
1497,266000.0
1498,151000.0
1499,151000.0
1500,194000.0
1501,168500.0
1502,138000.0
1503,392000.0
1504,248000.0
1505,221000.0
1506,201800.0
1507,290000.0
1508,187000.0
1509,163500.0
1510,135000.0
1511,143000.0
1512,185750.0
1513,228950.0
1514,125000.0
1515,244400.0
1516,140000.0
1517,155000.0
1518,100000.0
1519,226000.0
1520,143000.0
1521,128950.0
1522,140000.0
1523,120000.0
1524,55993.0
1525,115000.0
1526,113000.0
1527,118400.0
1528,135000.0
1529,148000.0
1530,159000.0
1531,167500.0
1532,79500.0
1533,130000.0
1534,115000.0
1535,117000.0
1536,116000.0
1537,85500.0
1538,157500.0
1539,167500.0
1540,133900.0
1541,125000.0
1542,140000.0
1543,234000.0
1544,73000.0
1545,89471.0
1546,134900.0
1547,132500.0
1548,91500.0
1549,115000.0
1550,98000.0
1551,88000.0
1552,129500.0
1553,157500.0
1554,40000.0
1555,140000.0
1556,105000.0
1557,153575.0
1558,80000.0
1559,167500.0
1560,145000.0
1561,139000.0
1562,110000.0
1563,97000.0
1564,158900.0
1565,158000.0
1566,130500.0
1567,73000.0
1568,205000.0
1569,164000.0
1570,142125.0
1571,115000.0
1572,126175.0
1573,233170.0
1574,158000.0
1575,143000.0
1576,211000.0
1577,169116.5
1578,79000.0
1579,148000.0
1580,181000.0
1581,147000.0
1582,112500.0
1583,250000.0
1584,211000.0
1585,138000.0
1586,113000.0
1587,80000.0
1588,137500.0
1589,147000.0
1590,85000.0
1591,112500.0
1592,100000.0
1593,105000.0
1594,250000.0
1595,161000.0
1596,137900.0
1597,154300.0
1598,193500.0
1599,118500.0
1600,189000.0
1601,82500.0
1602,110500.0
1603,37900.0
1604,275000.0
1605,215000.0
1606,143500.0
1607,160000.0
1608,181134.0
1609,186000.0
1610,164310.0
1611,179900.0
1612,187100.0
1613,167250.0
1614,130250.0
1615,81500.0
1616,81500.0
1617,88000.0
1618,123000.0
1619,125000.0
1620,262280.0
1621,179200.0
1622,167000.0
1623,211000.0
1624,211000.0
1625,97000.0
1626,218000.0
1627,181000.0
1628,305000.0
1629,212000.0
1630,325000.0
1631,174000.0
1632,191000.0
1633,155000.0
1634,192000.0
1635,178000.0
1636,173000.0
1637,190000.0
1638,210000.0
1639,172500.0
1640,250000.0
1641,197000.0
1642,326000.0
1643,194500.0
1644,312500.0
1645,150000.0
1646,107000.0
1647,113000.0
1648,167000.0
1649,155000.0
1650,120350.0
1651,117750.0
1652,91500.0
1653,106250.0
1654,155000.0
1655,129900.0
1656,148500.0
1657,151000.0
1658,146000.0
1659,128200.0
1660,139000.0
1661,383970.0
1662,446261.0
1663,378500.0
1664,466500.0
1665,245350.0
1666,224900.0
1667,276000.0
1668,377500.0
1669,241000.0
1670,212000.0
1671,224900.0
1672,309000.0
1673,402000.0
1674,220000.0
1675,207000.0
1676,196000.0
1677,218750.0
1678,281213.0
1679,350000.0
1680,394617.0
1681,227680.0
1682,271000.0
1683,171750.0
1684,176330.0
1685,173900.0
1686,194000.0
1687,181750.0
1688,284000.0
1689,193000.0
1690,180000.0
1691,185000.0
1692,216500.0
1693,181750.0
1694,206000.0
1695,192000.0
1696,345000.0
1697,192000.0
1698,412500.0
1699,240000.0
1700,240000.0
1701,271900.0
1702,245350.0
1703,293077.0
1704,306000.0
1705,156932.0
